Epoch [1/50], Loss: 1.6304, Train Acc: 33.37%, Val Acc: 47.41%
Epoch [2/50], Loss: 1.0538, Train Acc: 60.00%, Val Acc: 71.39%
Epoch [3/50], Loss: 0.5409, Train Acc: 80.29%, Val Acc: 89.10%
Epoch [4/50], Loss: 0.2453, Train Acc: 91.34%, Val Acc: 91.55%
Epoch [5/50], Loss: 0.2247, Train Acc: 91.86%, Val Acc: 94.55%
Epoch [6/50], Loss: 0.0973, Train Acc: 96.80%, Val Acc: 97.82%
Epoch [7/50], Loss: 0.0783, Train Acc: 97.21%, Val Acc: 97.00%
Epoch [8/50], Loss: 0.0794, Train Acc: 97.56%, Val Acc: 88.56%
Epoch [9/50], Loss: 0.0977, Train Acc: 96.80%, Val Acc: 98.64%
Epoch [10/50], Loss: 0.0837, Train Acc: 97.21%, Val Acc: 94.28%
Epoch [11/50], Loss: 0.0602, Train Acc: 98.02%, Val Acc: 91.55%
Epoch [12/50], Loss: 0.0693, Train Acc: 97.67%, Val Acc: 97.55%
Epoch [13/50], Loss: 0.0393, Train Acc: 98.72%, Val Acc: 98.64%
Epoch [14/50], Loss: 0.0174, Train Acc: 99.53%, Val Acc: 98.91%
Epoch [15/50], Loss: 0.0092, Train Acc: 99.77%, Val Acc: 98.64%
Epoch [16/50], Loss: 0.0249, Train Acc: 99.42%, Val Acc: 97.00%
Epoch [17/50], Loss: 0.0387, Train Acc: 98.95%, Val Acc: 97.28%
Epoch [18/50], Loss: 0.0616, Train Acc: 98.31%, Val Acc: 98.09%
Epoch [19/50], Loss: 0.0555, Train Acc: 98.02%, Val Acc: 95.91%
Epoch [20/50], Loss: 0.0906, Train Acc: 97.62%, Val Acc: 98.09%
Epoch [21/50], Loss: 0.0490, Train Acc: 98.49%, Val Acc: 98.64%
Epoch [22/50], Loss: 0.0296, Train Acc: 98.66%, Val Acc: 99.73%
Epoch [23/50], Loss: 0.0217, Train Acc: 99.19%, Val Acc: 98.91%
Epoch [24/50], Loss: 0.0530, Train Acc: 98.37%, Val Acc: 98.37%
Epoch [25/50], Loss: 0.0354, Train Acc: 99.13%, Val Acc: 98.91%
Epoch [26/50], Loss: 0.0274, Train Acc: 99.19%, Val Acc: 99.18%
Epoch [27/50], Loss: 0.0200, Train Acc: 99.36%, Val Acc: 100.00%
Epoch [28/50], Loss: 0.0074, Train Acc: 99.77%, Val Acc: 99.46%
Epoch [29/50], Loss: 0.0461, Train Acc: 98.84%, Val Acc: 98.91%
Epoch [30/50], Loss: 0.0116, Train Acc: 99.65%, Val Acc: 99.73%
Epoch [31/50], Loss: 0.0533, Train Acc: 98.43%, Val Acc: 97.55%
Epoch [32/50], Loss: 0.0584, Train Acc: 97.91%, Val Acc: 97.28%
Epoch [33/50], Loss: 0.0362, Train Acc: 99.07%, Val Acc: 98.09%
Epoch [34/50], Loss: 0.0253, Train Acc: 99.24%, Val Acc: 99.18%
Epoch [35/50], Loss: 0.0044, Train Acc: 99.88%, Val Acc: 99.73%
Epoch [36/50], Loss: 0.0021, Train Acc: 99.88%, Val Acc: 99.46%
Epoch [37/50], Loss: 0.0226, Train Acc: 99.59%, Val Acc: 99.18%
Epoch [38/50], Loss: 0.0271, Train Acc: 99.24%, Val Acc: 98.09%
Epoch [39/50], Loss: 0.0575, Train Acc: 98.66%, Val Acc: 95.37%
Epoch [40/50], Loss: 0.0490, Train Acc: 98.26%, Val Acc: 97.82%
Epoch [41/50], Loss: 0.0156, Train Acc: 99.42%, Val Acc: 98.64%
Epoch [42/50], Loss: 0.0163, Train Acc: 99.30%, Val Acc: 99.18%
Epoch [43/50], Loss: 0.0133, Train Acc: 99.53%, Val Acc: 98.37%
Epoch [44/50], Loss: 0.0567, Train Acc: 98.31%, Val Acc: 99.18%
Epoch [45/50], Loss: 0.0280, Train Acc: 99.13%, Val Acc: 97.82%
Epoch [46/50], Loss: 0.0229, Train Acc: 99.24%, Val Acc: 97.55%
Epoch [47/50], Loss: 0.0628, Train Acc: 98.26%, Val Acc: 99.46%
Epoch [48/50], Loss: 0.0345, Train Acc: 98.72%, Val Acc: 97.28%
Epoch [49/50], Loss: 0.0275, Train Acc: 99.01%, Val Acc: 99.46%
Epoch [50/50], Loss: 0.0352, Train Acc: 98.72%, Val Acc: 98.09%
Test Accuracy: 99.46%

lr=0.00001
batchsize=32
